sentence_id,feature,snr,norm_distance,score
u1_l1_004,gfcc,clean,0.073035540076387,37.76425366539096
u1_l1_004,mfcc,clean,0.05878188754859063,45.668632575876615
u1_l1_004,gfcc,snr20,2.8375291747699296,3.7070049172069855e-15
u1_l1_004,mfcc,snr20,3.0798482676813603,1.4650481441176712e-16
u1_l1_004,gfcc,snr10,3.0378158910178104,2.565926940507354e-16
u1_l1_004,mfcc,snr10,3.4380543788247744,1.2348837163977014e-18
u1_l1_004,gfcc,snr05,3.266214758047352,1.2208980073660512e-17
u1_l1_004,mfcc,snr05,3.626501251640309,1.0009373700611354e-19
u1_l1_005,gfcc,clean,0.11845201331631197,20.610692786597674
u1_l1_005,mfcc,clean,0.07733300923775059,35.661204747677935
u1_l1_005,gfcc,snr20,2.7976321382505986,6.310309582531521e-15
u1_l1_005,mfcc,snr20,2.9062800977058054,1.4822263946887568e-15
u1_l1_005,gfcc,snr10,3.2014941453205448,2.893677436541852e-17
u1_l1_005,mfcc,snr10,3.344188978741871,4.316804703694319e-18
u1_l1_005,gfcc,snr05,3.2537120422062897,1.4423728031736466e-17
u1_l1_005,mfcc,snr05,3.3378388211138836,4.6982224968752795e-18
u1_l1_012,gfcc,clean,0.08040035558942592,34.232156292756656
u1_l1_012,mfcc,clean,0.06759604695564811,40.60493292783969
u1_l1_012,gfcc,snr20,3.022414913421904,3.150830792142935e-16
u1_l1_012,mfcc,snr20,3.227795229365481,2.0377515976401543e-17
u1_l1_012,gfcc,snr10,3.3874119628028505,2.4259156057501625e-18
u1_l1_012,mfcc,snr10,3.471356896749374,7.921086094354138e-19
u1_l1_012,gfcc,snr05,3.3909553790739104,2.3139672419920422e-18
u1_l1_012,mfcc,snr05,3.673836811815139,5.3248323187717383e-20
u1_l1_014,gfcc,clean,0.08493923861978693,32.2219212276862
u1_l1_014,mfcc,clean,0.08532225602500196,32.05778660506377
u1_l1_014,gfcc,snr20,3.084108927478117,1.3841404143686892e-16
u1_l1_014,mfcc,snr20,3.196911174573505,3.0760134962771626e-17
u1_l1_014,gfcc,snr10,3.3467854721932624,4.1699146333011745e-18
u1_l1_014,mfcc,snr10,3.403634392633748,1.9540613653116522e-18
u1_l1_014,gfcc,snr05,3.351002280465927,3.941933952098987e-18
u1_l1_014,mfcc,snr05,3.658506374953512,6.532482545681205e-20
u1_l1_015,gfcc,clean,0.057893735937214516,46.21265631693302
u1_l1_015,mfcc,clean,0.07599538853978499,36.302925807886396
u1_l1_015,gfcc,snr20,3.0210010291274356,3.210793016255581e-16
u1_l1_015,mfcc,snr20,3.158705613410466,5.119423942105309e-17
u1_l1_015,gfcc,snr10,3.274650100437099,1.0910226067084172e-17
u1_l1_015,mfcc,snr10,3.4046312615206054,1.9282606383919463e-18
u1_l1_015,gfcc,snr05,3.41287594237787,1.72752421658079e-18
u1_l1_015,mfcc,snr05,3.4912721791471104,6.073841253771496e-19
u1_l1_018,gfcc,clean,0.07936898537572781,34.70615496182875
u1_l1_018,mfcc,clean,0.07640821924810387,36.103648595051865
u1_l1_018,gfcc,snr20,2.967048750701876,6.592163957783753e-16
u1_l1_018,mfcc,snr20,3.0658779563425878,1.7650145300217482e-16
u1_l1_018,gfcc,snr10,3.3811303431289628,2.6378493671134108e-18
u1_l1_018,mfcc,snr10,3.5503344414756683,2.7634900723509815e-19
u1_l1_018,gfcc,snr05,3.377486822606612,2.769160553869759e-18
u1_l1_018,mfcc,snr05,3.549684789643129,2.787531464121918e-19
u1_l1_026,gfcc,clean,0.1926263268431938,7.666185476926659
u1_l1_026,mfcc,clean,0.10852859677606914,23.52637727620868
u1_l1_026,gfcc,snr20,2.877256842761148,2.1826113147440154e-15
u1_l1_026,mfcc,snr20,3.075045956431688,1.5619248228316608e-16
u1_l1_026,gfcc,snr10,3.0739441851230036,1.5850393057244778e-16
u1_l1_026,mfcc,snr10,3.2451181114558945,1.6174895403331567e-17
u1_l1_026,gfcc,snr05,3.095032946534311,1.1965300226384397e-16
u1_l1_026,mfcc,snr05,3.330677640265002,5.168934923390478e-18
u1_l1_028,gfcc,clean,0.07449915683857479,37.034432751909286
u1_l1_028,mfcc,clean,0.05969371635743639,45.11676775052445
u1_l1_028,gfcc,snr20,3.1493208919461284,5.801819300912207e-17
u1_l1_028,mfcc,snr20,3.2566308498812515,1.387317604531083e-17
u1_l1_028,gfcc,snr10,3.4123913210539945,1.738722959585478e-18
u1_l1_028,mfcc,snr10,3.4928183341550523,5.94990843764235e-19
u1_l1_028,gfcc,snr05,3.4759079208487402,7.45472461744887e-19
u1_l1_028,mfcc,snr05,3.656380573903357,6.720288334208928e-20
u1_l1_029,gfcc,clean,0.06408520385746042,42.55089127025366
u1_l1_029,mfcc,clean,0.05853805991778338,45.81734450518752
u1_l1_029,gfcc,snr20,2.9674036299601156,6.56104534144663e-16
u1_l1_029,mfcc,snr20,3.052183241008655,2.1185992244452843e-16
u1_l1_029,gfcc,snr10,3.2276297968118315,2.0422513645419167e-17
u1_l1_029,mfcc,snr10,3.403812063162276,1.949437789088096e-18
u1_l1_029,gfcc,snr05,3.4717392731100993,7.880804385779136e-19
u1_l1_029,mfcc,snr05,3.726280198271651,2.646230220537304e-20
u1_l1_030,gfcc,clean,0.0759021890646799,36.34806603077912
u1_l1_030,mfcc,clean,0.07547493717443395,36.55572067371076
u1_l1_030,gfcc,snr20,2.9789095100631227,5.627910330535349e-16
u1_l1_030,mfcc,snr20,3.136737082530216,6.861703033117596e-17
u1_l1_030,gfcc,snr10,3.1401325648665193,6.557979606252876e-17
u1_l1_030,mfcc,snr10,3.4078861294314247,1.8463673869498926e-18
u1_l1_030,gfcc,snr05,3.21444064752997,2.434905953884395e-17
u1_l1_030,mfcc,snr05,3.556415794677055,2.5482572407297362e-19
u1_l1_032,gfcc,clean,0.1000341315677011,26.347720562681687
u1_l1_032,mfcc,clean,0.09127200473090685,29.61290135350077
u1_l1_032,gfcc,snr20,3.140330007002979,6.540738024251411e-17
u1_l1_032,mfcc,snr20,3.3394691445718294,4.597196213796928e-18
u1_l1_032,gfcc,snr10,3.35046187914402,3.9704395427454204e-18
u1_l1_032,mfcc,snr10,3.6182132493973667,1.1178907240201943e-19
u1_l1_032,gfcc,snr05,3.3384051046784093,4.662882399111858e-18
u1_l1_032,mfcc,snr05,3.673457143668679,5.351856251460096e-20
u1_l1_036,gfcc,clean,0.037767714857225965,60.436948893795
u1_l1_036,mfcc,clean,0.040568117751234874,58.221921931413476
u1_l1_036,gfcc,snr20,3.169180181229847,4.4521228045143094e-17
u1_l1_036,mfcc,snr20,3.389704941538391,2.3528702661147546e-18
u1_l1_036,gfcc,snr10,3.316213563856295,6.268399183833853e-18
u1_l1_036,mfcc,snr10,3.664192847491525,6.055502801697036e-20
u1_l1_036,gfcc,snr05,3.511570677183388,4.633648591245247e-19
u1_l1_036,mfcc,snr05,3.87577602130283,3.605438938192019e-21
u1_l1_055,gfcc,clean,0.08674650853574768,31.454752109032842
u1_l1_055,mfcc,clean,0.08384314458912182,32.69628920408507
u1_l1_055,gfcc,snr20,3.126204721274252,7.896243577714576e-17
u1_l1_055,mfcc,snr20,3.310446291009856,6.769437387806258e-18
u1_l1_055,gfcc,snr10,3.2804832472829735,1.009383891642044e-17
u1_l1_055,mfcc,snr10,3.5060782816595912,4.985713540818729e-19
u1_l1_055,gfcc,snr05,3.3656084857656867,3.2443728005493953e-18
u1_l1_055,mfcc,snr05,3.640552599389211,8.299296238616702e-20
u1_l1_065,gfcc,clean,0.14066950095773023,15.326400126267028
u1_l1_065,mfcc,clean,0.1311984784536415,17.389335915940737
u1_l1_065,gfcc,snr20,3.1234981694942885,8.186402178995729e-17
u1_l1_065,mfcc,snr20,3.444979539282525,1.1259660025156224e-18
u1_l1_065,gfcc,snr10,3.2870100782300185,9.252565059513951e-18
u1_l1_065,mfcc,snr10,3.5618333190042346,2.370678101071513e-19
u1_l1_065,gfcc,snr05,3.260090229771577,1.3247808328664323e-17
u1_l1_065,mfcc,snr05,3.6028410291154676,1.3721880254035958e-19
u1_l1_070,gfcc,clean,0.15980144248824796,11.875581131880036
u1_l1_070,mfcc,clean,0.141520380839607,15.153503734086085
u1_l1_070,gfcc,snr20,3.422447789485544,1.5205386798909464e-18
u1_l1_070,mfcc,snr20,3.3927989298650876,2.2577817280773294e-18
u1_l1_070,gfcc,snr10,3.3820798562818104,2.604664239531744e-18
u1_l1_070,mfcc,snr10,3.649419934700733,7.373847237231008e-20
u1_l1_070,gfcc,snr05,3.384925211477428,2.507699268898864e-18
u1_l1_070,mfcc,snr05,3.6030559147114096,1.3682621396434655e-19
